DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA-NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241706550,03/02/2024 12:00:00 AM,03/02/2024 12:00:00 AM,2305,17,Devonshire,1743,1,310,BURGLARY,1202 0329 0314 1609,77,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,18200    SAN JOSE                     ST,,34.261,-118.53
241805600,02/03/2024 12:00:00 AM,02/02/2024 12:00:00 AM,1930,18,Southeast,1801,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,8700 S  FIGUEROA                     ST,,33.9555,-118.2871
240307099,03/02/2024 12:00:00 AM,03/01/2024 12:00:00 AM,1850,03,Southwest,0335,1,210,ROBBERY,1306 0370 0342 0344 0916 0334 0432 1310 1822,22,M,H,101,STREET,207,OTHER KNIFE,IC,Invest Cont,210,,,,30TH                         ST,7TH                          AV,34.0277,-118.3248
240806416,03/02/2024 12:00:00 AM,03/01/2024 12:00:00 AM,2330,08,West LA,0805,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800    MORAGA                       DR,,34.0776,-118.4693
241300509,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,2230,13,Newton,1333,1,310,BURGLARY,0329 0344 0321,0,M,H,729,SPECIALTY SCHOOL/OTHER,,,IC,Invest Cont,310,,,,700 E  28TH                         ST,,34.0198,-118.2624
241705438,02/02/2024 12:00:00 AM,01/24/2024 12:00:00 AM,1130,17,Devonshire,1761,2,354,THEFT OF IDENTITY,1822 0930,40,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,9500    OWENSMOUTH                   AV,,34.2427,-118.6022
240704178,01/04/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1951,07,Wilshire,0723,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822,0,X,X,417,THE BEVERLY CONNECTION,,,IC,Invest Cont,442,,,,8000    BEVERLY                      BL,,34.0761,-118.3637
241105202,02/02/2024 12:00:00 AM,02/01/2024 12:00:00 AM,0030,11,Northeast,1129,1,330,BURGLARY FROM VEHICLE,0344 0321 0386 1601,31,M,W,104,DRIVEWAY,,,IC,Invest Cont,330,,,,900    ADELANTE                     AV,,34.1218,-118.1708
240504102,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1710,05,Harbor,0503,2,901,VIOLATION OF RESTRAINING ORDER,2038,65,F,W,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,901,,,,700 W  LOMITA                       BL,,33.7977,-118.287
241104054,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0001,11,Northeast,1151,1,761,BRANDISH WEAPON,1822 0334,32,M,B,102,SIDEWALK,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,761,,,,SUNSET,NORMANDIE,34.0981,-118.3005
241706551,03/02/2024 12:00:00 AM,03/02/2024 12:00:00 AM,0715,17,Devonshire,1705,1,310,BURGLARY,1300 1606 0913 1817 0344,37,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,17000    TENNYSON                     PL,,34.3058,-118.5014
240805359,02/02/2024 12:00:00 AM,02/02/2024 12:00:00 AM,1027,08,West LA,0852,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 2028,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,11800    SANTA MONICA                 BL,,34.0428,-118.4582
241706890,03/03/2024 12:00:00 AM,03/02/2024 12:00:00 AM,2005,17,Devonshire,1764,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 0352,0,X,X,727,SHOPPING MALL (COMMON AREA),,,IC,Invest Cont,343,,,,9300    TAMPA                        AV,,34.244,-118.5583
241207651,03/03/2024 12:00:00 AM,03/02/2024 12:00:00 AM,1200,12,77th Street,1257,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,900 W  77TH                         ST,,33.9698,-118.2897
242104064,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1411,21,Topanga,2149,2,928,THREATENING PHONE CALLS/LETTERS,0443,33,F,H,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,928,,,,6700    CORBIN                       AV,,34.1958,-118.5666
241904087,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0821,19,Mission,1961,2,354,THEFT OF IDENTITY,0377,43,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,9100 N  SEPULVEDA                    BL,,34.2446,-118.4676
241505658,02/02/2024 12:00:00 AM,02/02/2024 12:00:00 AM,0300,15,N Hollywood,1522,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,13000    SHERMAN                      WY,,34.2012,-118.416
241505719,02/04/2024 12:00:00 AM,02/02/2024 12:00:00 AM,1600,15,N Hollywood,1553,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344,27,M,O,707,GARAGE/CARPORT,,,IC,Invest Cont,331,,,,12000    RIVERSIDE                    DR,,34.1576,-118.3943
241207574,03/02/2024 12:00:00 AM,03/01/2024 12:00:00 AM,2300,12,77th Street,1204,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1200 W  47TH                         ST,,34.0006,-118.2959
241306932,03/02/2024 12:00:00 AM,03/02/2024 12:00:00 AM,1730,13,Newton,1317,1,761,BRANDISH WEAPON,0342 0906 1822 1309 0334 0371,22,M,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,761,,,,16TH                         ST,COMPTON                      BL,34.0234,-118.2438
